area,bedrooms,bathrooms,location,age,parking,stories,main_road,furnishing_status,price
1441,3,2,Downtown,17,1,2,Yes,Furnished,629138.76
1881,3,2,Downtown,16,2,2,Yes,Semi-Furnished,756024.98
1478,2,1,Green Valley,37,2,3,Yes,Semi-Furnished,378850.86
972,2,2,West Hills,22,3,1,Yes,Furnished,460729.35
1858,3,3,Downtown,29,1,2,Yes,Furnished,701363.56
1182,2,2,Green Valley,20,2,2,Yes,Semi-Furnished,352311.75
2185,4,3,Downtown,9,1,1,Yes,Unfurnished,922558.53
1251,3,1,Metro Corridor,12,2,2,Yes,Furnished,406772.02
3360,5,4,Downtown,11,2,2,Yes,Furnished,1337695.35
1321,2,2,West Hills,8,1,2,No,Unfurnished,519492.06
1589,3,2,Suburban Heights,3,1,2,Yes,Furnished,606099.45
2503,3,2,Waterfront Bay,38,1,1,Yes,Semi-Furnished,941103.64
1105,2,1,West Hills,23,1,2,No,Semi-Furnished,405790.33
1980,4,3,West Hills,33,3,2,No,Furnished,723030.26
3049,5,4,Metro Corridor,38,1,2,No,Semi-Furnished,758371.91
950,1,1,Metro Corridor,40,0,2,Yes,Unfurnished,238414.15
1946,3,2,Suburban Heights,4,0,1,Yes,Semi-Furnished,624688.17
2006,2,2,Suburban Heights,14,2,1,No,Semi-Furnished,528635.39
2471,3,2,West Hills,3,1,1,No,Semi-Furnished,751257.75
1102,1,1,West Hills,38,1,1,Yes,Semi-Furnished,357606.0
1066,1,1,Suburban Heights,7,1,2,Yes,Furnished,404037.96
2227,3,2,Suburban Heights,23,2,2,No,Semi-Furnished,625555.94
2036,4,3,West Hills,27,1,1,Yes,Semi-Furnished,729150.62
1998,3,3,Green Valley,26,2,1,Yes,Furnished,519264.15
2076,4,2,West Hills,0,1,1,Yes,Unfurnished,732581.25
1377,2,2,Waterfront Bay,33,1,1,Yes,Unfurnished,618044.4
1984,4,3,West Hills,16,0,2,Yes,Unfurnished,761624.61
2032,3,2,Metro Corridor,36,0,2,Yes,Furnished,518961.75
1358,3,2,Metro Corridor,37,1,2,No,Unfurnished,379650.88
3813,5,4,Metro Corridor,25,1,1,Yes,Semi-Furnished,880876.22
2185,4,4,Metro Corridor,23,2,3,Yes,Unfurnished,671128.9
1122,2,1,Suburban Heights,38,0,1,No,Unfurnished,321934.58
2351,4,2,Suburban Heights,20,0,2,Yes,Unfurnished,646086.39
1224,1,1,Metro Corridor,29,2,2,Yes,Unfurnished,341963.71
2477,3,1,Waterfront Bay,12,1,2,Yes,Furnished,899697.11
2873,5,3,Suburban Heights,36,2,1,Yes,Semi-Furnished,807292.65
1302,1,1,Metro Corridor,2,2,1,Yes,Furnished,389652.16
2658,4,3,Metro Corridor,31,1,2,Yes,Semi-Furnished,644668.07
2132,2,2,Green Valley,34,2,1,No,Unfurnished,423149.25
2511,4,3,Green Valley,18,1,1,No,Furnished,570646.09
3861,5,3,Waterfront Bay,13,1,2,Yes,Semi-Furnished,1494348.44
1639,3,2,Green Valley,21,1,2,Yes,Semi-Furnished,391021.51
1337,2,1,Downtown,16,1,2,Yes,Furnished,576841.98
1266,2,2,West Hills,3,1,1,Yes,Furnished,509921.73
1304,2,1,Waterfront Bay,39,1,2,Yes,Furnished,494435.29
1753,3,2,Waterfront Bay,18,1,1,No,Furnished,738118.21
2072,3,2,Green Valley,36,0,2,Yes,Semi-Furnished,467063.35
2019,3,2,Waterfront Bay,1,0,1,Yes,Semi-Furnished,832166.82
2517,3,3,West Hills,14,0,2,Yes,Furnished,862222.66
1817,3,1,Downtown,1,0,2,Yes,Unfurnished,698473.42
3233,4,2,Downtown,10,1,1,No,Semi-Furnished,1182524.54
1626,3,2,Suburban Heights,22,1,1,No,Semi-Furnished,756868.61
4800,5,4,West Hills,9,1,1,Yes,Furnished,1451024.02
2322,4,3,Waterfront Bay,2,2,1,Yes,Semi-Furnished,1084832.94
1283,2,1,Waterfront Bay,4,2,2,No,Semi-Furnished,611337.18
1178,2,1,West Hills,2,1,1,No,Semi-Furnished,451990.18
2192,4,3,Downtown,37,2,2,No,Semi-Furnished,775966.08
1653,3,3,Suburban Heights,12,1,2,Yes,Furnished,598961.44
2405,4,2,Green Valley,41,0,1,Yes,Unfurnished,471515.57
2184,4,3,Suburban Heights,18,2,2,Yes,Semi-Furnished,707071.59
1756,2,2,Suburban Heights,39,0,1,Yes,Semi-Furnished,482963.01
1288,2,1,West Hills,34,3,1,No,Unfurnished,423332.79
986,2,2,Metro Corridor,23,1,1,Yes,Semi-Furnished,342123.22
1512,2,1,Metro Corridor,23,1,2,Yes,Semi-Furnished,425696.18
2546,4,3,Green Valley,16,1,1,Yes,Semi-Furnished,589395.68
1969,3,2,Downtown,39,1,2,No,Furnished,711519.99
1098,2,1,Green Valley,9,0,1,Yes,Unfurnished,239007.66
1937,3,1,Green Valley,1,1,3,Yes,Semi-Furnished,490364.94
2109,4,3,Metro Corridor,22,2,2,Yes,Semi-Furnished,633527.39
1269,3,3,Suburban Heights,5,1,1,Yes,Unfurnished,471486.97
1922,2,1,Metro Corridor,1,1,2,Yes,Semi-Furnished,529398.54
1850,3,2,Waterfront Bay,20,1,2,Yes,Semi-Furnished,780608.89
1144,3,3,Metro Corridor,34,2,1,No,Unfurnished,342955.27
2086,3,2,Downtown,28,1,1,Yes,Furnished,805837.39
2262,4,3,Metro Corridor,6,1,1,Yes,Furnished,648819.73
2788,5,4,West Hills,28,3,2,No,Furnished,1015205.69
2755,5,4,Downtown,36,1,2,No,Unfurnished,941608.0
1042,2,3,Metro Corridor,22,1,1,Yes,Furnished,363171.6
1242,3,3,West Hills,32,2,1,Yes,Semi-Furnished,545277.25
2221,4,3,West Hills,7,2,2,Yes,Furnished,857889.49
2220,3,2,Waterfront Bay,11,1,2,Yes,Semi-Furnished,917434.14
2221,3,2,Metro Corridor,9,0,2,No,Semi-Furnished,571203.96
4800,5,4,Suburban Heights,14,2,3,Yes,Unfurnished,1282783.82
2271,3,2,Suburban Heights,23,1,1,Yes,Semi-Furnished,676950.36
2847,5,3,Suburban Heights,25,3,1,Yes,Semi-Furnished,854133.24
2648,4,3,West Hills,41,0,1,Yes,Unfurnished,771990.64
2346,3,2,West Hills,38,1,2,Yes,Semi-Furnished,706729.83
1593,3,2,Suburban Heights,2,0,1,Yes,Unfurnished,516779.56
2449,3,2,Suburban Heights,1,2,1,Yes,Semi-Furnished,729616.67
1327,2,2,Suburban Heights,5,2,2,Yes,Semi-Furnished,516815.95
1644,3,2,Green Valley,20,2,1,Yes,Unfurnished,408535.05
1488,2,1,West Hills,8,3,1,Yes,Semi-Furnished,552003.62
1868,3,2,Suburban Heights,9,0,2,Yes,Furnished,613384.39
4563,5,4,Suburban Heights,35,0,1,Yes,Furnished,1166461.29
856,1,1,Suburban Heights,2,2,1,No,Unfurnished,326415.55
2379,3,2,Metro Corridor,40,2,2,Yes,Unfurnished,578604.68
948,2,1,Downtown,23,2,1,Yes,Semi-Furnished,438026.14
1497,3,4,West Hills,21,2,1,Yes,Unfurnished,616110.42
2794,4,2,Waterfront Bay,13,1,3,Yes,Semi-Furnished,1105228.71
1855,3,2,Waterfront Bay,41,1,1,Yes,Semi-Furnished,749345.24
1174,3,2,Downtown,26,3,2,Yes,Semi-Furnished,600924.13
1358,2,2,Metro Corridor,32,1,1,Yes,Semi-Furnished,353226.0
2372,3,3,Green Valley,21,1,2,Yes,Semi-Furnished,547743.31
1349,3,3,Downtown,28,2,1,Yes,Furnished,674804.87
1971,4,3,Suburban Heights,18,1,1,Yes,Furnished,683020.7
1841,3,2,Downtown,18,2,1,No,Unfurnished,655846.74
1393,2,1,Metro Corridor,5,0,2,Yes,Unfurnished,385339.79
4262,5,4,West Hills,18,2,2,Yes,Semi-Furnished,1348431.74
2329,3,3,Waterfront Bay,12,2,1,Yes,Unfurnished,1015970.6
804,1,1,Downtown,25,1,3,Yes,Semi-Furnished,385848.49
1948,3,3,Metro Corridor,21,1,1,Yes,Unfurnished,535973.48
1387,3,2,West Hills,20,1,2,Yes,Furnished,589197.78
2542,4,3,Downtown,35,1,1,No,Semi-Furnished,919020.72
1316,2,1,West Hills,1,1,2,Yes,Semi-Furnished,512739.81
1726,3,2,Metro Corridor,29,1,2,Yes,Furnished,293862.33
2212,3,2,West Hills,26,1,2,Yes,Semi-Furnished,701748.03
2556,4,3,Suburban Heights,6,0,1,Yes,Unfurnished,747073.61
1118,1,1,West Hills,19,0,1,Yes,Semi-Furnished,364741.62
1581,2,1,West Hills,30,2,2,No,Unfurnished,493463.14
1495,2,1,West Hills,22,0,1,Yes,Semi-Furnished,474502.17
1392,1,1,Green Valley,12,2,1,No,Semi-Furnished,338057.48
3663,5,4,Downtown,16,2,1,Yes,Semi-Furnished,1330811.57
2125,3,2,West Hills,3,2,1,No,Furnished,709659.24
1091,3,2,Downtown,13,2,1,No,Semi-Furnished,546329.4
2610,5,3,Waterfront Bay,19,0,2,Yes,Semi-Furnished,1063899.34
4225,5,3,West Hills,12,2,2,No,Unfurnished,1239941.28
2732,4,2,Green Valley,2,1,2,Yes,Semi-Furnished,608692.13
984,1,1,Downtown,25,2,1,Yes,Semi-Furnished,414769.99
1489,2,1,Green Valley,25,2,2,Yes,Furnished,401316.03
3001,5,3,Waterfront Bay,17,0,2,Yes,Unfurnished,1176586.94
1362,2,1,Suburban Heights,31,1,2,No,Semi-Furnished,416352.49
2159,3,1,Downtown,13,1,1,Yes,Unfurnished,751855.05
2464,4,4,West Hills,2,2,3,Yes,Semi-Furnished,896053.63
1247,2,2,West Hills,0,1,2,Yes,Semi-Furnished,555660.81
1765,2,1,Suburban Heights,25,1,3,No,Semi-Furnished,486957.28
650,2,2,Suburban Heights,23,1,1,No,Semi-Furnished,258363.68
1200,1,1,West Hills,34,1,1,Yes,Semi-Furnished,399399.89
1634,3,3,West Hills,13,3,1,Yes,Semi-Furnished,677561.66
1097,2,1,Suburban Heights,2,2,2,Yes,Semi-Furnished,431295.77
3473,5,4,Metro Corridor,12,1,1,Yes,Unfurnished,868263.75
1020,2,1,West Hills,13,0,2,Yes,Furnished,395736.39
1516,2,1,Waterfront Bay,20,0,2,Yes,Semi-Furnished,674076.58
1905,3,2,Waterfront Bay,25,1,2,Yes,Furnished,818797.09
3217,5,4,Metro Corridor,2,2,2,Yes,Furnished,897305.63
1018,1,2,Downtown,39,1,2,Yes,Semi-Furnished,417961.83
2879,4,2,Metro Corridor,3,1,2,No,Furnished,692434.73
1815,2,2,Suburban Heights,35,2,1,No,Semi-Furnished,490222.95
1220,2,1,Suburban Heights,0,2,2,Yes,Furnished,444591.04
2175,3,2,Waterfront Bay,39,1,2,No,Semi-Furnished,768930.84
1957,3,1,Green Valley,32,0,1,Yes,Furnished,389978.84
1422,2,1,Green Valley,6,1,3,Yes,Furnished,384866.34
1859,3,2,Green Valley,10,2,1,Yes,Unfurnished,457468.03
1549,3,2,Downtown,26,3,1,No,Semi-Furnished,589573.05
1892,3,2,Metro Corridor,13,0,1,Yes,Unfurnished,503622.49
2356,3,2,Suburban Heights,21,0,1,Yes,Furnished,671910.83
3409,5,4,West Hills,15,2,2,Yes,Unfurnished,1128141.05
1101,1,1,Waterfront Bay,11,2,3,Yes,Semi-Furnished,637010.51
4243,5,4,West Hills,9,3,2,No,Furnished,1355398.29
828,1,1,Green Valley,23,1,3,Yes,Semi-Furnished,267914.97
1701,2,1,Waterfront Bay,17,1,1,No,Semi-Furnished,658480.58
2287,3,3,Waterfront Bay,21,0,1,Yes,Semi-Furnished,963714.93
2023,3,2,Downtown,8,0,2,No,Semi-Furnished,789413.49
1409,2,2,Waterfront Bay,16,1,2,No,Semi-Furnished,624606.26
1663,3,3,Suburban Heights,37,1,1,Yes,Semi-Furnished,520425.3
1484,2,2,Metro Corridor,39,0,3,No,Semi-Furnished,346896.15
1428,2,1,Waterfront Bay,12,2,2,Yes,Unfurnished,644729.26
2539,3,2,West Hills,36,1,3,No,Semi-Furnished,790664.07
2085,3,3,Suburban Heights,5,2,1,Yes,Semi-Furnished,687876.12
1370,2,1,Waterfront Bay,20,1,2,Yes,Semi-Furnished,643384.87
2591,4,3,Suburban Heights,35,2,2,Yes,Unfurnished,758548.32
2044,2,2,Downtown,6,0,2,Yes,Semi-Furnished,802797.83
2502,4,3,West Hills,35,2,1,No,Furnished,814000.64
2325,4,3,Downtown,24,0,3,No,Semi-Furnished,837399.34
1297,2,1,West Hills,10,1,2,Yes,Semi-Furnished,476406.48
1445,4,3,Downtown,13,2,1,Yes,Semi-Furnished,701219.65
2437,4,3,Green Valley,28,0,1,Yes,Semi-Furnished,531340.41
2308,3,2,Metro Corridor,9,1,2,Yes,Semi-Furnished,573234.16
1792,3,2,Suburban Heights,4,2,2,Yes,Unfurnished,553322.89
1894,2,2,Suburban Heights,7,2,2,Yes,Semi-Furnished,639499.29
3014,5,3,Waterfront Bay,4,0,1,Yes,Semi-Furnished,1227932.22
1427,2,1,Metro Corridor,23,0,2,Yes,Semi-Furnished,381394.23
2250,4,2,Suburban Heights,39,0,2,Yes,Furnished,647651.19
1667,2,1,Metro Corridor,25,0,1,No,Unfurnished,352496.99
1657,2,1,Downtown,5,3,2,Yes,Semi-Furnished,717884.89
2805,4,3,Downtown,15,1,1,Yes,Semi-Furnished,966147.15
2515,5,3,Suburban Heights,35,1,1,Yes,Unfurnished,673625.18
2503,4,3,Downtown,11,3,2,Yes,Furnished,1023738.45
3047,5,3,West Hills,10,1,3,Yes,Unfurnished,1031723.43
1823,3,2,Downtown,2,2,1,Yes,Unfurnished,720678.46
2375,4,2,Metro Corridor,36,1,1,Yes,Unfurnished,530770.6
1597,3,2,Metro Corridor,5,1,1,No,Furnished,483282.01
2058,3,2,Waterfront Bay,18,1,1,Yes,Semi-Furnished,823971.65
1716,1,1,Suburban Heights,17,0,1,Yes,Furnished,492850.91
1879,3,2,Suburban Heights,15,1,2,Yes,Semi-Furnished,630982.21
2294,4,2,West Hills,22,1,1,Yes,Semi-Furnished,708705.89
1303,2,2,Suburban Heights,36,0,3,No,Furnished,419422.35
4175,5,4,Downtown,8,1,1,No,Semi-Furnished,1433704.02
1209,2,1,Waterfront Bay,2,1,2,Yes,Semi-Furnished,622716.05
1112,3,2,Suburban Heights,7,1,2,Yes,Unfurnished,431234.3
2873,5,3,Green Valley,37,1,2,No,Semi-Furnished,618187.36
2481,4,3,Metro Corridor,3,2,1,Yes,Semi-Furnished,709469.67
2320,4,3,Downtown,11,0,2,Yes,Semi-Furnished,920611.23
2324,3,1,West Hills,30,1,2,Yes,Unfurnished,737121.2
1799,2,1,Green Valley,24,2,2,Yes,Semi-Furnished,399167.77
1262,1,1,Downtown,15,0,2,No,Semi-Furnished,465967.91
1863,4,3,West Hills,41,2,1,Yes,Furnished,679916.76
1379,2,2,Suburban Heights,13,2,2,Yes,Semi-Furnished,493566.9
2670,4,2,West Hills,12,0,3,Yes,Unfurnished,880652.96
1704,2,1,West Hills,40,0,2,No,Unfurnished,471004.86
1299,3,2,Green Valley,6,3,2,Yes,Furnished,408620.4
1589,3,2,Waterfront Bay,11,1,2,No,Semi-Furnished,758714.53
2132,5,3,Metro Corridor,36,2,2,Yes,Furnished,634772.92
1443,2,2,Waterfront Bay,3,1,2,No,Unfurnished,716917.85
1301,2,1,Suburban Heights,1,1,2,Yes,Semi-Furnished,477681.43
1993,2,2,Green Valley,34,0,1,Yes,Unfurnished,398691.18
1994,4,2,Metro Corridor,2,1,2,Yes,Semi-Furnished,578201.63
1476,2,1,Waterfront Bay,3,1,2,No,Unfurnished,669111.27
1497,2,1,West Hills,37,2,1,Yes,Unfurnished,447238.33
1983,2,2,Downtown,11,2,1,Yes,Furnished,743169.11
1013,1,1,Waterfront Bay,18,2,2,Yes,Unfurnished,489936.09
1029,1,1,West Hills,9,1,2,Yes,Unfurnished,357260.38
1356,2,1,West Hills,0,2,1,No,Semi-Furnished,518430.05
1660,2,1,Suburban Heights,16,2,2,Yes,Unfurnished,517648.06
2047,3,2,West Hills,15,3,2,No,Semi-Furnished,718128.78
3262,5,4,Suburban Heights,8,1,2,Yes,Unfurnished,1009010.21
2547,3,2,Downtown,8,2,1,No,Furnished,960274.0
1695,3,3,Suburban Heights,8,1,3,Yes,Semi-Furnished,599926.85
1794,3,2,Green Valley,11,1,2,Yes,Furnished,485422.37
1210,2,2,Metro Corridor,40,3,1,Yes,Unfurnished,372955.12
1794,2,1,Suburban Heights,14,0,1,No,Unfurnished,467753.64
1610,2,1,Downtown,1,0,1,Yes,Semi-Furnished,593761.51
2057,4,2,West Hills,10,2,2,Yes,Semi-Furnished,731064.95
1298,2,1,West Hills,10,0,1,No,Semi-Furnished,420143.44
2225,3,2,Waterfront Bay,7,2,2,No,Semi-Furnished,898821.53
3337,5,4,Suburban Heights,31,2,1,No,Semi-Furnished,961077.79
1731,2,1,Green Valley,5,0,2,Yes,Semi-Furnished,402634.75
2123,4,2,West Hills,19,1,1,Yes,Furnished,751009.56
2382,4,3,Suburban Heights,38,2,2,No,Furnished,744997.2
1539,2,1,West Hills,34,1,3,Yes,Semi-Furnished,521488.5
1977,3,3,Downtown,7,3,1,Yes,Semi-Furnished,886280.79
1817,2,1,Downtown,33,2,1,Yes,Unfurnished,600383.47
1880,3,2,Green Valley,18,1,2,No,Semi-Furnished,447292.11
1327,3,3,Waterfront Bay,6,0,1,Yes,Furnished,705030.83
1825,2,1,Waterfront Bay,30,3,2,No,Semi-Furnished,694823.16
2206,4,2,Suburban Heights,17,1,1,Yes,Semi-Furnished,655603.09
3230,4,2,Metro Corridor,39,0,1,No,Semi-Furnished,719175.37
2653,4,3,Metro Corridor,13,2,3,Yes,Semi-Furnished,726350.24
4278,5,4,Downtown,38,2,2,Yes,Semi-Furnished,1389673.02
1330,2,2,West Hills,35,2,2,Yes,Semi-Furnished,490913.22
2562,3,3,Suburban Heights,16,1,1,No,Furnished,720867.5
1945,3,1,Suburban Heights,36,2,1,Yes,Semi-Furnished,554171.26
4341,5,4,West Hills,8,2,2,No,Furnished,1385459.26
1308,2,1,Downtown,19,2,1,Yes,Furnished,555293.56
1292,1,1,Green Valley,27,3,2,Yes,Furnished,337839.47
1422,1,1,West Hills,19,1,1,Yes,Furnished,480113.53
773,1,1,Suburban Heights,40,2,1,Yes,Unfurnished,239195.79
1465,3,3,West Hills,35,3,2,Yes,Furnished,578256.53
1334,1,1,Waterfront Bay,26,0,2,Yes,Furnished,528615.01
1920,3,2,West Hills,7,0,2,No,Unfurnished,718293.94
2072,3,3,Downtown,31,2,2,No,Semi-Furnished,759141.74
3829,5,3,Suburban Heights,0,1,2,Yes,Semi-Furnished,1039881.49
2644,4,2,West Hills,16,0,2,Yes,Semi-Furnished,886510.31
